amount,transaction_type,merchant_category,hour,location_risk,device_trusted,failed_attempts,is_international,is_fraud
7369.61,Transfer,Healthcare,5,92,0,2,0,0
28097.61,Withdrawal,Fuel,7,64,0,2,0,0
59975.74,Refund,Fuel,19,12,0,2,1,1
38576.08,Refund,Entertainment,13,74,0,1,0,0
46090.12,Payment,Utility,21,67,1,1,0,0
18317.06,Withdrawal,Entertainment,16,8,0,4,0,0
73577.57,Withdrawal,Travel,22,29,1,4,0,1
30204.13,Refund,Healthcare,4,81,1,4,0,0
82135.63,Withdrawal,ATM,18,20,0,5,0,1
73754.6,Purchase,Electronics,1,83,1,5,0,1
58384.52,Payment,Shopping,9,83,1,3,0,1
12320.98,Purchase,Grocery,5,57,1,3,1,0
61674.31,Refund,Fuel,10,92,1,5,0,1
27030.8,Refund,Electronics,10,31,1,0,0,0
14971.39,Withdrawal,Electronics,1,38,1,4,1,0
29946.11,Withdrawal,Travel,18,93,1,1,0,0
56719.44,Refund,Utility,15,40,1,0,0,0
16953.24,Refund,Utility,7,28,1,0,0,0
8122.7,Refund,Utility,9,69,0,0,1,0
34259.87,Transfer,Travel,12,47,0,3,0,0
89509.08,Withdrawal,Travel,17,37,0,3,1,1
87252.69,Deposit,ATM,3,17,0,3,0,1
2813.67,Withdrawal,Restaurant,19,66,1,4,0,0
19745.15,Withdrawal,Travel,15,67,1,1,0,0
30488.17,Refund,Travel,5,51,1,4,0,0
22164.63,Refund,Shopping,15,91,1,3,0,0
35854.89,Deposit,Electronics,13,75,1,5,0,0
10313.67,Transfer,ATM,18,30,0,4,1,0
11527.98,Deposit,ATM,12,19,0,0,0,0
24681.61,Payment,Travel,13,20,1,5,0,0
31169.12,Refund,Utility,23,94,0,5,0,0
27633.85,Refund,Travel,21,62,1,2,0,0
11616.62,Refund,Travel,17,46,1,4,1,0
67005.14,Withdrawal,Healthcare,17,39,0,2,0,1
34451.26,Payment,Travel,17,93,1,2,0,0
17329.06,Refund,Entertainment,12,45,0,2,0,0
12917.81,Deposit,Electronics,11,57,1,5,1,0
36979.05,Refund,Healthcare,17,90,1,1,0,0
3244.22,Refund,Restaurant,7,7,0,5,0,0
410.37,Payment,Travel,22,61,0,5,0,0
57843.69,Refund,Fuel,13,84,1,3,0,1
84701.02,Purchase,Electronics,20,74,0,4,0,1
70558.28,Withdrawal,Grocery,12,64,0,5,0,1
16442.94,Purchase,Travel,9,59,1,1,1,0
60170.05,Purchase,Travel,5,94,1,5,0,1
49636.69,Transfer,ATM,21,97,0,1,1,1
509.12,Deposit,Electronics,5,18,1,2,0,0
34989.4,Payment,Restaurant,14,97,1,2,0,0
3821.25,Refund,Grocery,8,84,1,5,0,0
87328.6,Purchase,Utility,9,21,1,5,0,1
27353.22,Transfer,ATM,7,29,0,3,0,0
71811.65,Refund,Travel,13,90,1,4,0,1
3799.31,Purchase,Shopping,14,68,1,0,0,0
75613.29,Refund,Shopping,6,74,0,1,0,1
8003.47,Deposit,ATM,15,12,1,0,1,0
81740.4,Payment,Utility,18,8,1,5,0,1
47711.5,Deposit,Restaurant,18,10,0,3,0,1
45973.08,Purchase,Utility,1,37,1,1,0,0
4906.97,Deposit,Entertainment,11,49,1,3,1,0
59571.52,Deposit,Shopping,4,84,1,0,0,1
31962.82,Withdrawal,Grocery,0,39,1,5,1,0
56250.88,Withdrawal,Restaurant,14,45,0,2,0,1
4130.73,Purchase,Grocery,21,54,0,1,0,0
24195.69,Refund,Grocery,14,77,0,1,0,0
14126.27,Withdrawal,Shopping,6,97,0,1,0,0
52587.87,Deposit,ATM,10,74,1,1,0,1
37596.99,Refund,Restaurant,13,39,1,0,0,0
63734.61,Payment,Shopping,15,7,1,5,1,1
18114.11,Withdrawal,Healthcare,12,24,1,1,0,0
23366.3,Deposit,Fuel,14,8,1,3,0,0
5638.59,Transfer,Restaurant,10,83,0,3,0,0
79276.34,Deposit,Restaurant,1,35,1,5,0,1
87172.19,Deposit,Shopping,6,62,0,2,0,1
23858.26,Deposit,Electronics,23,97,1,1,0,0
32065.64,Withdrawal,Shopping,10,100,1,3,1,0
48188.72,Transfer,Healthcare,8,47,1,3,0,1
44501.02,Transfer,Restaurant,11,41,1,0,0,0
11851.89,Purchase,Healthcare,17,75,1,2,0,0
15513.87,Withdrawal,Entertainment,18,32,1,4,0,0
43246.78,Payment,Utility,14,22,1,1,0,0
81809.82,Payment,Fuel,17,83,0,4,0,1
647.57,Purchase,Grocery,13,18,0,0,0,0
1042.33,Refund,Utility,11,8,1,5,1,0
32190.71,Refund,Shopping,13,2,0,4,0,0
55843.6,Transfer,Grocery,16,90,1,1,0,1
22445.79,Refund,Shopping,8,46,1,3,0,0
39258.77,Payment,Utility,18,32,0,2,0,0
3461.28,Deposit,Grocery,2,52,1,3,1,0
33994.81,Purchase,Fuel,2,64,1,5,0,0
16338.59,Purchase,Shopping,1,30,0,5,1,0
1037.92,Purchase,Healthcare,17,73,0,1,0,0
9830.77,Withdrawal,ATM,4,97,1,0,0,0
48529.25,Withdrawal,ATM,12,87,1,3,0,1
20501.51,Deposit,Travel,1,13,1,1,0,0
55266.23,Refund,ATM,12,100,1,0,0,1
47903.5,Refund,Entertainment,13,24,1,0,0,0
49794.79,Deposit,Electronics,2,35,0,3,0,1
5329.1,Purchase,Healthcare,14,47,1,0,0,0
5468.17,Payment,Utility,17,72,1,0,0,0
17581.66,Refund,Electronics,19,77,1,3,0,0
57101.35,Payment,Electronics,23,72,0,4,0,1
25324.03,Transfer,Utility,4,9,0,3,0,0
35669.0,Payment,Electronics,11,33,0,5,1,0
19999.81,Withdrawal,Utility,3,18,1,0,1,0
18096.07,Refund,Entertainment,10,57,1,3,0,0
17557.74,Refund,Restaurant,15,41,0,3,0,0
50124.95,Deposit,Utility,18,32,1,3,0,1
76876.52,Refund,Restaurant,18,70,0,5,0,1
8436.83,Payment,Healthcare,22,9,1,5,1,0
89581.53,Transfer,Restaurant,8,85,0,5,1,1
85297.57,Payment,ATM,12,69,1,4,0,1
10063.68,Refund,ATM,20,11,0,1,0,0
6446.08,Refund,Grocery,18,83,1,2,1,0
23528.94,Purchase,Healthcare,7,66,0,3,0,0
29017.99,Deposit,ATM,22,65,0,2,0,0
20649.69,Transfer,Entertainment,2,15,0,2,0,0
48022.85,Withdrawal,Shopping,15,45,1,0,1,1
55802.35,Purchase,Electronics,0,44,0,5,0,1
63227.13,Refund,Fuel,17,21,1,4,1,1
44269.56,Withdrawal,Fuel,20,85,1,3,0,1
12426.49,Payment,ATM,13,50,0,5,0,0
11904.75,Deposit,Electronics,18,14,0,2,0,0
36717.37,Purchase,Healthcare,21,63,1,4,1,0
48842.92,Refund,Electronics,11,46,1,4,0,1
14390.51,Transfer,ATM,18,11,0,2,0,0
25152.52,Purchase,Fuel,11,89,0,4,1,0
33339.26,Withdrawal,ATM,12,55,0,3,0,0
51944.78,Payment,Healthcare,4,24,1,3,0,1
24996.26,Payment,Fuel,6,50,1,3,1,0
2058.44,Payment,Utility,5,11,0,1,0,0
33028.6,Withdrawal,Shopping,9,22,1,4,1,0
54834.39,Purchase,ATM,3,35,1,4,0,1
27038.97,Payment,Electronics,23,84,0,2,0,0
64267.52,Transfer,Electronics,14,16,0,1,0,1
31983.62,Refund,Fuel,6,27,0,4,0,0
57148.6,Refund,Shopping,5,42,1,2,0,0
83973.55,Refund,Electronics,4,97,1,0,0,1
29418.58,Withdrawal,Fuel,22,42,0,5,1,0
38054.3,Refund,Healthcare,20,54,1,3,0,0
27336.27,Purchase,Entertainment,16,96,1,5,0,0
38126.95,Payment,Travel,18,1,0,5,1,0
59528.93,Deposit,Travel,2,69,1,1,1,1
47319.39,Transfer,Travel,17,74,0,4,1,1
65543.32,Purchase,Grocery,3,81,1,0,0,1
5691.07,Payment,Restaurant,22,17,1,1,0,0
37573.7,Transfer,Healthcare,2,48,0,0,1,0
165.07,Deposit,Restaurant,13,84,0,5,0,0
656.29,Payment,Electronics,4,76,0,4,1,0
13813.92,Deposit,Travel,3,55,0,3,0,0
23024.99,Purchase,Electronics,3,41,1,2,0,0
26461.96,Withdrawal,Fuel,2,68,0,4,0,0
51611.76,Deposit,Restaurant,20,96,0,3,1,1
74007.93,Purchase,ATM,23,50,1,3,0,1
58574.22,Withdrawal,Shopping,19,77,1,5,0,1
47049.72,Refund,ATM,16,25,1,2,0,0
31744.36,Withdrawal,Utility,12,15,0,3,0,0
21988.21,Purchase,Travel,10,17,1,4,1,0
926.23,Deposit,Fuel,15,99,0,0,0,0
25472.16,Withdrawal,Grocery,1,51,1,5,1,0
18663.42,Payment,Electronics,20,69,0,2,0,0
18679.15,Refund,Restaurant,4,69,1,3,0,0
27256.97,Payment,Restaurant,1,32,0,3,0,0
42503.25,Refund,Grocery,9,86,0,0,0,1
7703.14,Withdrawal,Utility,11,67,1,1,0,0
15850.68,Transfer,Electronics,0,43,1,2,0,0
52078.95,Refund,Electronics,15,59,1,0,1,1
2737.87,Purchase,ATM,21,93,0,1,0,0
10819.76,Purchase,Restaurant,1,61,1,3,0,0
14970.96,Purchase,Shopping,22,95,1,1,0,0
10842.73,Deposit,Travel,8,10,1,0,0,0
19705.33,Refund,Grocery,12,9,1,2,0,0
61572.31,Refund,Utility,0,48,0,2,0,1
69369.53,Payment,Restaurant,23,70,0,1,0,1
6326.55,Deposit,Grocery,10,1,1,5,0,0
5672.3,Refund,Restaurant,13,63,0,1,0,0
34888.16,Withdrawal,Shopping,13,90,1,3,0,0
26155.47,Refund,Fuel,20,51,0,4,0,0
19151.66,Withdrawal,Restaurant,9,34,1,3,0,0
9409.09,Transfer,Restaurant,2,26,0,4,0,0
57881.62,Withdrawal,Utility,14,41,1,0,0,0
9541.16,Withdrawal,Utility,9,60,1,0,0,0
8984.6,Deposit,Healthcare,22,90,0,1,0,0
15683.99,Deposit,Restaurant,11,51,0,5,0,0
6204.25,Withdrawal,Grocery,12,58,0,0,1,0
73363.39,Withdrawal,Electronics,0,8,0,1,0,1
74069.41,Deposit,Electronics,18,76,1,0,0,1
10162.55,Withdrawal,Electronics,10,16,0,3,0,0
54662.22,Refund,Entertainment,23,51,1,0,1,1
38871.98,Withdrawal,Healthcare,8,58,0,0,0,0
23042.62,Payment,Entertainment,17,62,0,0,0,0
59365.28,Payment,Restaurant,20,68,0,5,0,1
23364.04,Transfer,Utility,17,63,1,4,0,0
3609.61,Withdrawal,Grocery,10,77,0,0,0,0
14946.64,Payment,Shopping,11,99,0,1,0,0
21352.8,Withdrawal,Healthcare,17,95,0,1,1,0
76525.24,Withdrawal,Fuel,7,76,1,5,0,1
10615.85,Refund,ATM,4,73,0,3,0,0
140.94,Purchase,Electronics,1,30,0,0,1,0
1412.58,Refund,Restaurant,4,44,0,2,0,0
42301.83,Refund,Fuel,3,68,1,0,0,0
8273.45,Deposit,Entertainment,18,13,1,2,0,0
13471.91,Withdrawal,Entertainment,20,63,1,1,0,0
43756.97,Refund,Fuel,12,40,1,1,0,0
55270.19,Deposit,ATM,12,99,0,1,0,1
14355.96,Withdrawal,ATM,3,64,0,2,0,0
15986.23,Transfer,Fuel,20,12,1,3,0,0
2984.03,Withdrawal,Electronics,11,33,0,5,0,0
32806.84,Payment,Entertainment,5,53,1,3,0,0
4515.19,Purchase,Utility,18,84,0,1,1,0
20574.31,Purchase,Healthcare,0,41,1,0,0,0
74413.58,Payment,Fuel,23,10,0,2,1,1
69935.06,Refund,Entertainment,5,7,0,2,0,1
5845.36,Deposit,Shopping,8,85,1,2,0,0
328.55,Payment,ATM,17,63,0,0,0,0
1641.57,Purchase,Healthcare,21,81,1,1,0,0
28309.57,Withdrawal,Healthcare,2,61,0,2,1,0
65059.89,Deposit,Healthcare,2,83,1,1,0,1
9152.73,Transfer,Utility,14,34,0,2,0,0
69912.09,Deposit,Electronics,2,86,1,4,1,1
28628.11,Payment,Shopping,13,69,1,4,0,0
10455.45,Purchase,Entertainment,22,5,0,0,1,0
89877.12,Withdrawal,Restaurant,6,17,0,3,0,1
5312.94,Deposit,Fuel,19,34,1,5,0,0
76518.55,Refund,Entertainment,17,42,1,4,1,1
34038.98,Refund,Shopping,13,15,1,1,0,0
74465.45,Refund,Electronics,3,73,0,2,0,1
8716.77,Refund,ATM,15,5,0,2,1,0
3052.53,Refund,Entertainment,1,51,1,5,0,0
16892.76,Payment,Healthcare,11,3,1,2,0,0
77795.97,Payment,Electronics,7,18,1,5,1,1
45593.65,Refund,Electronics,6,57,0,3,1,1
8225.42,Purchase,Shopping,5,9,1,5,1,0
15044.47,Refund,ATM,0,23,0,1,0,0
73593.44,Payment,Grocery,11,91,0,2,0,1
10737.26,Purchase,Grocery,7,48,1,4,1,0
44962.77,Payment,ATM,17,45,1,1,0,0
51243.9,Deposit,Electronics,9,4,1,0,0,0
30845.55,Withdrawal,Restaurant,20,29,0,2,1,0
13503.82,Deposit,Grocery,15,17,0,4,0,0
54819.41,Refund,Healthcare,22,91,1,3,1,1
33731.28,Transfer,Shopping,19,51,0,0,0,0
20243.39,Refund,ATM,9,39,0,3,0,0
31085.89,Transfer,Travel,8,34,1,1,0,0
89886.11,Withdrawal,Grocery,19,52,1,5,0,1
20655.71,Transfer,Entertainment,12,50,0,4,0,0
30488.16,Deposit,Restaurant,21,69,1,5,0,0
44481.04,Withdrawal,Shopping,5,38,0,3,0,1
13477.34,Refund,Fuel,21,43,0,1,0,0
27879.26,Transfer,Entertainment,10,48,1,4,0,0
30078.59,Purchase,Utility,1,82,0,3,0,0
8328.18,Deposit,Entertainment,16,39,1,0,0,0
51757.4,Withdrawal,Travel,13,73,1,1,0,1
16484.32,Transfer,Fuel,10,82,0,0,1,0
38045.9,Withdrawal,ATM,5,63,0,1,1,0
43866.48,Payment,Entertainment,15,50,0,0,0,1
13653.32,Transfer,Shopping,6,3,0,5,0,0
10104.51,Transfer,Healthcare,4,14,1,4,0,0
20629.7,Purchase,Healthcare,9,59,1,3,0,0
13536.85,Payment,Travel,6,22,1,0,0,0
42695.49,Withdrawal,Restaurant,23,3,0,0,0,1
39752.0,Payment,Healthcare,17,80,0,4,0,0
22877.2,Deposit,Grocery,1,89,0,3,1,0
18136.88,Refund,Healthcare,15,90,0,1,0,0
25187.66,Deposit,Electronics,21,67,1,4,0,0
72405.08,Purchase,Shopping,23,80,0,2,0,1
2460.4,Transfer,Shopping,6,46,1,2,0,0
863.69,Payment,Restaurant,22,62,1,1,0,0
77560.93,Purchase,Electronics,18,86,1,1,0,1
6078.55,Transfer,Restaurant,14,38,1,3,0,0
5790.41,Withdrawal,Grocery,9,47,1,3,0,0
53682.2,Purchase,Grocery,4,85,0,2,0,1
24074.99,Transfer,Electronics,11,44,0,0,1,0
6872.09,Payment,Healthcare,12,89,1,3,0,0
53156.73,Deposit,Grocery,5,14,1,4,1,1
6864.96,Payment,Travel,19,4,0,3,1,0
840.38,Payment,Utility,1,9,1,5,0,0
31194.07,Deposit,Shopping,23,74,0,5,0,0
39856.27,Deposit,ATM,3,56,0,3,0,0
30383.5,Deposit,Entertainment,4,72,0,0,0,0
19920.6,Payment,Utility,5,10,1,2,0,0
4821.95,Transfer,Grocery,16,29,1,3,0,0
7210.54,Payment,ATM,14,12,1,3,0,0
49571.93,Payment,Grocery,3,52,1,0,0,0
57026.27,Refund,ATM,20,39,0,5,1,1
79169.4,Withdrawal,Utility,10,72,1,5,0,1
52386.99,Withdrawal,Grocery,10,46,1,4,0,1
65567.07,Withdrawal,Entertainment,3,33,0,1,0,1
74630.55,Withdrawal,Travel,3,97,1,0,0,1
67874.98,Refund,Fuel,15,1,0,4,1,1
39485.56,Withdrawal,ATM,5,94,0,0,1,0
