transaction_id,amount,transaction_type,merchant_category,hour,location_risk,device_trusted,failed_attempts,is_international,fraud
TXN0081,126808,Bank Transfer,Electronics,18,0,1,3,1,1
TXN0082,135691,UPI,Grocery,0,1,0,2,0,1
TXN0083,121172,Bank Transfer,Travel,19,0,1,2,1,1
TXN0084,10784,UPI,Grocery,13,0,0,3,1,0
TXN0085,121475,Bank Transfer,Fuel,6,0,1,5,1,1
TXN0086,38387,Bank Transfer,Electronics,17,0,0,0,0,0
TXN0087,113053,Bank Transfer,Electronics,12,0,0,1,1,1
TXN0088,65116,Bank Transfer,Shopping,9,1,1,4,0,1
TXN0089,29826,Card,Travel,11,1,1,1,0,0
TXN0090,103121,UPI,Food,19,0,0,4,0,1
TXN0091,52924,UPI,Grocery,4,1,0,2,1,1
TXN0092,130754,Bank Transfer,Food,19,1,0,0,0,1
TXN0093,101747,UPI,Fuel,3,0,1,4,1,1
TXN0094,54714,Card,Travel,10,0,1,4,1,1
TXN0095,110756,Card,Travel,0,1,1,0,0,0
TXN0096,106574,Bank Transfer,Travel,18,1,0,0,1,1
TXN0097,42154,Card,Shopping,11,1,1,3,1,0
TXN0098,85922,Card,Food,0,0,0,2,0,1
TXN0099,3718,UPI,Fuel,8,0,1,3,1,0
TXN0100,104531,Bank Transfer,Food,2,0,1,3,1,1
TXN0101,86068,UPI,Shopping,20,1,0,3,1,1
TXN0102,92218,Bank Transfer,Fuel,13,0,0,1,0,1
TXN0103,47606,UPI,Food,20,1,0,5,0,0
TXN0104,102795,UPI,Travel,7,1,1,3,1,1
TXN0105,66096,Card,Fuel,2,0,0,1,0,1
TXN0106,8237,Card,Travel,23,0,1,1,1,0
TXN0107,60789,UPI,Electronics,19,0,1,1,0,0
TXN0108,127767,UPI,Food,15,1,0,0,1,1
TXN0109,63962,UPI,Travel,4,1,1,4,0,1
TXN0110,8666,UPI,Grocery,4,0,1,0,0,0
TXN0111,108242,UPI,Fuel,11,0,1,0,0,0
TXN0112,70668,UPI,Shopping,13,0,0,1,0,1
TXN0113,67607,Card,Food,18,0,0,3,1,1
TXN0114,82990,UPI,Electronics,6,0,1,0,1,1
TXN0115,37853,UPI,Travel,5,1,0,4,0,0
TXN0116,85306,Card,Shopping,2,0,0,0,0,1
TXN0117,37780,Bank Transfer,Fuel,15,1,0,3,1,0
TXN0118,130099,Bank Transfer,Travel,22,0,1,5,0,1
TXN0119,42325,Bank Transfer,Shopping,13,1,0,3,0,0
TXN0120,60648,Card,Grocery,21,1,1,1,0,0
TXN0121,24647,UPI,Travel,4,1,0,3,0,0
TXN0122,49131,UPI,Food,21,0,1,1,1,0
TXN0123,107670,UPI,Shopping,15,0,0,3,1,1
TXN0124,134615,Card,Travel,15,1,0,1,0,1
TXN0125,5979,UPI,Fuel,9,0,1,0,0,0
TXN0126,19985,UPI,Shopping,4,1,0,3,1,0
TXN0127,71366,Card,Electronics,3,0,1,1,1,1
TXN0128,34342,Bank Transfer,Travel,11,1,1,2,1,0
TXN0129,30649,Card,Food,23,0,0,5,0,0
TXN0130,66968,Bank Transfer,Grocery,13,1,0,1,0,1
TXN0131,23568,Card,Electronics,8,0,0,3,1,0
TXN0132,76264,Bank Transfer,Food,17,0,0,3,0,1
TXN0133,139131,Bank Transfer,Food,6,1,1,5,1,1
TXN0134,61159,Card,Shopping,11,1,0,2,0,1
TXN0135,15544,Bank Transfer,Food,19,0,0,4,1,0
TXN0136,12744,Card,Food,4,0,1,1,0,0
TXN0137,44308,Card,Shopping,18,0,1,0,0,0
TXN0138,138163,Card,Grocery,3,0,1,2,0,0
TXN0139,63230,UPI,Grocery,3,0,0,0,0,1
TXN0140,50783,Card,Food,9,0,1,0,0,0
TXN0141,104065,UPI,Fuel,9,1,0,0,1,1
TXN0142,47030,Card,Grocery,5,0,0,5,1,0
TXN0143,143849,Card,Shopping,20,1,1,5,0,1
TXN0144,148196,UPI,Travel,11,0,1,5,0,1
TXN0145,55119,Card,Food,16,0,0,4,1,1
TXN0146,31733,Bank Transfer,Travel,20,1,0,3,0,0
TXN0147,123019,Bank Transfer,Travel,3,1,1,4,0,1
TXN0148,945,Bank Transfer,Travel,7,0,1,1,1,0
TXN0149,17951,Bank Transfer,Electronics,0,1,1,4,1,0
TXN0150,115391,Card,Fuel,18,1,1,5,1,1
TXN0151,9866,Bank Transfer,Electronics,4,0,1,4,1,0
TXN0152,20280,Bank Transfer,Electronics,0,0,1,2,0,0
TXN0153,144187,Bank Transfer,Food,0,0,0,2,0,1
TXN0154,29680,Bank Transfer,Food,9,0,1,4,0,0
TXN0155,96112,Card,Travel,9,0,1,2,1,1
TXN0156,129690,UPI,Travel,12,1,1,2,1,1
TXN0157,24402,UPI,Grocery,9,0,0,4,0,0
TXN0158,109715,Card,Grocery,1,1,0,2,0,1
TXN0159,21798,Bank Transfer,Food,23,1,1,2,1,0
TXN0160,125828,Bank Transfer,Electronics,5,0,1,3,1,1
TXN0161,130697,UPI,Fuel,2,1,0,2,0,1
TXN0162,50798,Bank Transfer,Grocery,1,1,1,2,0,0
TXN0163,118687,UPI,Travel,18,1,0,2,0,1
TXN0164,20461,Bank Transfer,Electronics,19,1,0,1,1,0
TXN0165,16125,Card,Food,8,1,1,3,0,0
TXN0166,105057,Bank Transfer,Electronics,22,1,0,4,0,1
TXN0167,55433,Card,Fuel,21,0,1,5,1,1
TXN0168,117010,Card,Food,13,0,0,4,0,1
TXN0169,6491,Card,Travel,0,1,0,3,0,0
TXN0170,107573,UPI,Travel,1,1,1,5,1,1
TXN0171,21666,Card,Fuel,11,1,0,3,0,0
TXN0172,100622,Bank Transfer,Grocery,18,1,1,0,1,1
TXN0173,138235,UPI,Electronics,0,1,0,1,1,1
TXN0174,145327,Card,Electronics,8,1,0,3,0,1
TXN0175,96961,Card,Grocery,21,1,1,5,0,1
TXN0176,91633,Bank Transfer,Electronics,6,0,0,0,0,1
TXN0177,136425,Card,Fuel,10,0,1,3,0,1
TXN0178,130401,Card,Grocery,2,1,1,2,0,0
TXN0179,21773,Card,Shopping,20,0,0,0,1,0
TXN0180,89250,Bank Transfer,Grocery,7,0,1,0,1,1
TXN0181,27264,UPI,Food,9,0,0,5,0,0
TXN0182,79455,Bank Transfer,Electronics,15,0,0,1,1,1
TXN0183,110175,Card,Grocery,8,0,0,3,1,1
TXN0184,71275,Bank Transfer,Shopping,18,1,1,2,0,0
TXN0185,121345,UPI,Food,2,0,0,4,1,1
TXN0186,85494,Bank Transfer,Shopping,7,0,0,5,1,1
TXN0187,135587,Card,Shopping,14,1,1,1,1,1
TXN0188,27806,Card,Travel,21,0,1,0,0,0
TXN0189,98255,UPI,Fuel,19,1,1,3,0,1
TXN0190,71993,Bank Transfer,Electronics,6,0,1,2,0,0
TXN0191,110762,Bank Transfer,Food,6,0,1,3,1,1
TXN0192,131349,Bank Transfer,Travel,17,1,0,3,0,1
TXN0193,140700,UPI,Electronics,11,0,0,0,0,1
TXN0194,138127,Card,Grocery,14,1,1,3,1,1
TXN0195,50966,Card,Shopping,10,0,1,5,1,1
TXN0196,77640,Bank Transfer,Travel,14,1,0,1,0,1
TXN0197,27611,UPI,Grocery,15,0,1,4,0,0
TXN0198,13516,Bank Transfer,Electronics,8,1,1,4,0,0
TXN0199,73625,Card,Shopping,21,1,1,2,1,1
TXN0200,98806,UPI,Fuel,21,0,0,3,1,1
TXN0201,14167,UPI,Grocery,1,0,0,2,1,0
TXN0202,24156,Bank Transfer,Travel,23,1,1,3,0,0
TXN0203,128967,Card,Fuel,3,0,0,4,0,1
TXN0204,823,Card,Travel,16,0,1,5,1,0
TXN0205,107357,Bank Transfer,Grocery,2,1,1,5,0,1
TXN0206,119745,Card,Travel,9,1,1,5,1,1
TXN0207,89126,UPI,Food,22,1,0,3,1,1
TXN0208,106025,UPI,Electronics,11,1,1,5,1,1
TXN0209,141097,Bank Transfer,Grocery,17,0,0,1,0,1
TXN0210,99172,UPI,Travel,1,1,0,1,0,1
TXN0211,137626,Card,Electronics,6,0,1,2,1,1
TXN0212,108075,UPI,Fuel,15,0,0,0,0,1
TXN0213,43373,Card,Grocery,3,0,1,1,0,0
TXN0214,89836,Bank Transfer,Grocery,4,0,0,5,0,1
TXN0215,49098,UPI,Electronics,19,0,0,4,0,0
TXN0216,105190,Card,Food,23,1,1,0,1,1
TXN0217,84638,Bank Transfer,Grocery,2,1,1,2,1,1
TXN0218,33591,Card,Shopping,23,1,1,1,1,0
TXN0219,93421,Card,Shopping,12,0,0,1,1,1
TXN0220,93759,Bank Transfer,Grocery,9,0,0,4,1,1
TXN0221,16676,UPI,Food,2,0,0,4,1,0
TXN0222,109296,Card,Shopping,3,1,0,3,1,1
TXN0223,25272,UPI,Travel,1,1,1,2,0,0
TXN0224,19675,Card,Travel,12,1,0,1,1,0
TXN0225,143752,Card,Electronics,19,0,1,2,0,0
TXN0226,131022,Bank Transfer,Grocery,9,1,0,0,1,1
TXN0227,122160,Bank Transfer,Shopping,3,1,0,4,1,1
TXN0228,30731,UPI,Shopping,16,0,1,0,1,0
TXN0229,115267,Bank Transfer,Grocery,11,1,1,4,0,1
TXN0230,95679,Card,Shopping,1,1,1,3,1,1
TXN0231,70364,Bank Transfer,Fuel,7,0,0,1,0,1
TXN0232,139241,UPI,Fuel,0,0,1,5,0,1
TXN0233,124609,UPI,Food,11,1,1,1,1,1
TXN0234,85032,Bank Transfer,Travel,13,0,1,3,0,1
TXN0235,27941,Bank Transfer,Fuel,16,1,0,2,1,0
TXN0236,83432,UPI,Fuel,21,1,1,4,0,1
TXN0237,74298,UPI,Travel,9,1,0,1,1,1
TXN0238,44830,Bank Transfer,Food,17,0,0,4,0,0
TXN0239,148154,UPI,Grocery,16,0,0,3,0,1
TXN0240,13389,UPI,Electronics,1,0,1,1,1,0
TXN0241,99037,Card,Shopping,0,0,1,2,0,0
TXN0242,90562,Card,Shopping,10,0,1,0,0,0
TXN0243,107934,Card,Fuel,16,0,1,2,0,0
TXN0244,144105,UPI,Food,8,0,0,3,0,1
TXN0245,145211,UPI,Grocery,16,1,1,1,0,0
TXN0246,138535,UPI,Fuel,14,0,0,5,0,1
TXN0247,87559,Card,Electronics,19,0,1,4,1,1
TXN0248,24059,Card,Shopping,2,1,1,1,1,0
TXN0249,86130,UPI,Electronics,22,1,0,4,0,1
TXN0250,9563,Card,Shopping,9,1,0,5,0,0
TXN0251,22545,Bank Transfer,Travel,19,0,0,3,0,0
TXN0252,135009,Card,Grocery,10,1,1,2,1,1
TXN0253,75826,Bank Transfer,Fuel,9,0,0,4,1,1
TXN0254,82614,Bank Transfer,Fuel,21,1,1,3,0,1
TXN0255,97022,Bank Transfer,Travel,3,1,0,5,0,1
TXN0256,147313,Bank Transfer,Electronics,5,0,0,0,1,1
TXN0257,62202,UPI,Electronics,18,1,1,0,1,1
TXN0258,132110,Bank Transfer,Electronics,10,1,0,1,1,1
TXN0259,146177,Card,Grocery,9,1,0,4,1,1
TXN0260,56620,Bank Transfer,Electronics,21,0,0,0,1,1
TXN0261,41368,Card,Shopping,17,0,0,5,1,0
TXN0262,74734,Bank Transfer,Grocery,17,0,1,2,0,0
TXN0263,120925,Card,Grocery,21,1,0,3,0,1
TXN0264,13186,UPI,Travel,21,1,1,0,0,0
TXN0265,145918,UPI,Grocery,15,1,0,2,0,1
TXN0266,116292,Card,Food,6,0,1,0,1,1
TXN0267,101999,Bank Transfer,Travel,4,0,1,5,1,1
TXN0268,15612,Bank Transfer,Grocery,15,0,0,1,0,0
TXN0269,146832,Card,Fuel,16,0,1,4,1,1
TXN0270,91442,Bank Transfer,Travel,10,0,0,5,1,1
TXN0271,27903,Bank Transfer,Grocery,18,1,1,2,1,0
TXN0272,39631,UPI,Travel,16,0,0,4,0,0
TXN0273,128932,Card,Shopping,7,1,1,2,0,0
TXN0274,59862,Card,Shopping,8,1,1,4,0,1
TXN0275,119103,Bank Transfer,Travel,2,0,0,0,0,1
TXN0276,128453,Card,Electronics,20,1,0,0,0,1
TXN0277,121566,Bank Transfer,Fuel,9,1,1,1,0,0
TXN0278,90686,Card,Grocery,21,1,1,5,0,1
TXN0279,114328,UPI,Food,1,1,1,3,0,1
TXN0280,1297,UPI,Grocery,0,0,0,4,1,0
TXN0281,112824,UPI,Electronics,21,0,0,4,1,1
TXN0282,31063,UPI,Electronics,12,1,0,5,0,0
TXN0283,102113,Card,Food,11,0,1,5,0,1
TXN0284,35373,Bank Transfer,Electronics,1,1,1,5,0,0
TXN0285,121558,UPI,Fuel,18,1,0,4,0,1
TXN0286,103765,Bank Transfer,Food,12,0,1,0,1,1
TXN0287,142182,Bank Transfer,Food,23,1,0,4,1,1
TXN0288,19953,Card,Shopping,20,1,0,3,0,0
TXN0289,67782,Bank Transfer,Shopping,15,0,0,0,0,1
TXN0290,45102,Card,Shopping,18,0,1,3,0,0
TXN0291,112719,Card,Food,23,1,1,0,1,1
TXN0292,85779,Card,Food,4,1,1,4,0,1
TXN0293,51255,Bank Transfer,Travel,3,0,1,0,0,0
TXN0294,99465,Bank Transfer,Electronics,7,0,0,4,1,1
TXN0295,54295,Bank Transfer,Electronics,8,1,0,5,0,1
TXN0296,91683,UPI,Fuel,8,0,1,3,1,1
TXN0297,11784,Card,Food,10,1,1,0,1,0
TXN0298,30456,Bank Transfer,Food,6,0,1,4,0,0
TXN0299,20177,UPI,Fuel,3,0,1,3,1,0
TXN0300,61569,Card,Travel,22,0,0,1,1,1
TXN0301,52609,Bank Transfer,Grocery,18,0,0,4,1,1
TXN0302,21252,Card,Travel,1,0,1,4,1,0
TXN0303,61295,Bank Transfer,Grocery,8,1,1,3,1,1
TXN0304,117081,Card,Travel,17,0,0,4,1,1
TXN0305,73677,Card,Food,9,1,0,0,0,1
TXN0306,34889,UPI,Grocery,19,0,1,3,1,0
TXN0307,141242,UPI,Travel,3,0,1,1,1,1
TXN0308,25350,Bank Transfer,Food,21,0,1,4,0,0
TXN0309,128659,Card,Shopping,5,0,1,4,1,1
TXN0310,97294,UPI,Food,5,0,1,0,1,1
TXN0311,11187,Card,Fuel,8,1,1,5,0,0
TXN0312,102029,Card,Shopping,3,1,1,3,1,1
TXN0313,70381,Bank Transfer,Food,10,1,0,0,0,1
TXN0314,51520,UPI,Travel,3,0,0,2,1,1
TXN0315,78439,Bank Transfer,Travel,1,1,1,2,1,1
TXN0316,102517,Bank Transfer,Food,8,0,0,1,0,1
TXN0317,72706,Card,Grocery,10,1,1,5,1,1
TXN0318,18273,UPI,Shopping,2,1,1,4,0,0
TXN0319,51593,UPI,Grocery,23,1,1,4,1,1
TXN0320,85127,Bank Transfer,Food,9,1,1,5,1,1
TXN0321,63583,UPI,Fuel,15,0,1,4,1,1
TXN0322,55146,Card,Grocery,0,0,0,3,0,1
TXN0323,6271,Bank Transfer,Fuel,13,1,0,3,0,0
TXN0324,63984,Bank Transfer,Travel,4,0,0,5,1,1
TXN0325,33800,Bank Transfer,Food,20,0,1,0,0,0
TXN0326,54041,Card,Shopping,10,0,1,5,1,1
TXN0327,59877,UPI,Fuel,18,1,1,4,1,1
TXN0328,113657,Bank Transfer,Shopping,3,1,0,2,0,1
TXN0329,56206,UPI,Travel,12,0,0,0,0,1
TXN0330,116913,UPI,Fuel,14,0,1,4,1,1
TXN0331,34021,UPI,Food,20,1,1,4,0,0
TXN0332,46008,UPI,Fuel,11,1,0,2,1,0
TXN0333,37129,Bank Transfer,Electronics,16,0,0,0,0,0
TXN0334,131758,Bank Transfer,Food,14,0,0,0,1,1
TXN0335,11970,UPI,Shopping,9,1,0,5,1,0
TXN0336,129815,Card,Grocery,13,0,0,5,1,1
TXN0337,24669,Card,Food,17,1,1,3,0,0
TXN0338,80623,Bank Transfer,Travel,19,1,1,2,1,1
TXN0339,35906,UPI,Shopping,21,0,1,5,0,0
TXN0340,18942,Bank Transfer,Grocery,9,1,1,4,0,0
TXN0341,9777,Card,Grocery,14,1,1,2,1,0
TXN0342,106452,Bank Transfer,Grocery,19,0,1,3,0,1
TXN0343,92384,Bank Transfer,Grocery,21,0,0,3,0,1
TXN0344,120606,Card,Shopping,3,0,0,2,0,1
TXN0345,110363,Card,Grocery,10,1,1,3,0,1
TXN0346,144162,Card,Electronics,21,1,1,0,0,0
TXN0347,14303,Bank Transfer,Travel,20,0,1,2,0,0
TXN0348,109005,Card,Shopping,21,1,0,0,1,1
TXN0349,57345,UPI,Shopping,6,1,1,3,0,1
TXN0350,99772,UPI,Travel,4,1,1,0,1,1
TXN0351,133671,Bank Transfer,Grocery,8,0,1,3,0,1
TXN0352,80152,Bank Transfer,Food,18,1,1,3,1,1
TXN0353,10605,UPI,Food,11,0,1,2,0,0
TXN0354,83820,Bank Transfer,Travel,0,1,0,5,0,1
TXN0355,33009,Card,Travel,13,1,0,5,1,0
TXN0356,45375,Card,Electronics,4,1,0,2,0,0
TXN0357,129596,Card,Shopping,15,0,1,4,0,1
TXN0358,129049,UPI,Travel,17,0,1,4,1,1
TXN0359,77003,Bank Transfer,Travel,14,0,1,0,0,0
TXN0360,45790,UPI,Shopping,18,1,0,0,1,0
TXN0361,20675,Card,Electronics,21,1,0,1,1,0
TXN0362,136574,Bank Transfer,Electronics,23,0,0,4,1,1
TXN0363,81920,UPI,Fuel,4,0,1,0,1,1
TXN0364,39152,Card,Electronics,21,0,0,5,1,0
TXN0365,120031,Card,Electronics,0,1,0,5,0,1
TXN0366,112263,Bank Transfer,Grocery,16,0,0,4,1,1
TXN0367,73626,Card,Fuel,9,1,0,5,1,1
TXN0368,138374,Bank Transfer,Grocery,17,0,1,4,1,1
TXN0369,144731,UPI,Grocery,12,1,0,3,1,1
TXN0370,97525,Bank Transfer,Shopping,4,0,1,4,1,1
TXN0371,64810,Bank Transfer,Shopping,7,0,0,2,1,1
TXN0372,21845,UPI,Travel,3,1,1,2,1,0
TXN0373,116258,UPI,Fuel,23,1,1,1,1,1
TXN0374,72307,Bank Transfer,Grocery,19,1,0,1,0,1
TXN0375,18337,Bank Transfer,Grocery,20,0,1,5,0,0
TXN0376,137400,Bank Transfer,Fuel,20,0,0,3,0,1
TXN0377,84808,Bank Transfer,Food,13,1,0,4,1,1
TXN0378,132343,Bank Transfer,Travel,12,1,0,5,0,1
TXN0379,93122,Bank Transfer,Shopping,2,1,0,3,1,1
TXN0380,102570,Bank Transfer,Fuel,6,0,0,3,0,1
TXN0381,123824,Bank Transfer,Food,19,0,1,2,0,0
TXN0382,85174,Card,Food,9,0,0,2,1,1
TXN0383,29439,UPI,Shopping,1,0,0,4,1,0
TXN0384,86039,UPI,Food,9,0,0,0,1,1
TXN0385,3231,UPI,Fuel,21,0,0,3,0,0
TXN0386,53363,Bank Transfer,Food,18,1,0,0,0,1
TXN0387,79024,UPI,Grocery,3,1,0,3,1,1
TXN0388,114548,UPI,Travel,10,0,1,0,1,1
TXN0389,12248,Bank Transfer,Travel,20,1,1,3,1,0
TXN0390,48523,Bank Transfer,Shopping,6,0,1,1,1,0
TXN0391,34591,UPI,Food,21,0,0,1,0,0
TXN0392,136997,Card,Travel,1,1,0,1,0,1
TXN0393,122459,Card,Food,14,1,1,2,0,0
TXN0394,29440,UPI,Travel,10,1,1,5,1,0
TXN0395,57121,Card,Travel,20,1,0,2,1,1
TXN0396,60091,Card,Fuel,0,1,1,1,0,0
TXN0397,90777,UPI,Travel,15,1,1,1,0,0
TXN0398,66697,UPI,Travel,16,1,1,3,0,1
TXN0399,44790,Card,Travel,19,0,0,0,1,0
TXN0400,61904,UPI,Travel,23,0,1,2,1,1
TXN0401,63890,Bank Transfer,Fuel,7,0,0,3,1,1
TXN0402,126863,Bank Transfer,Travel,19,0,0,4,0,1
TXN0403,11788,Card,Fuel,6,0,1,4,0,0
TXN0404,65836,Card,Electronics,14,0,0,1,1,1
TXN0405,34965,Card,Shopping,5,0,1,3,1,0
TXN0406,119496,Bank Transfer,Travel,11,0,0,0,1,1
TXN0407,6112,UPI,Food,17,0,1,4,0,0
TXN0408,139347,Card,Grocery,5,0,1,2,1,1
TXN0409,96248,UPI,Grocery,7,1,0,1,1,1
TXN0410,102726,UPI,Fuel,15,0,0,1,0,1
TXN0411,68170,Card,Travel,3,0,1,0,1,1
TXN0412,65699,Bank Transfer,Electronics,21,0,1,2,1,1
TXN0413,139230,Bank Transfer,Shopping,6,0,1,2,0,0
TXN0414,40487,Card,Electronics,8,0,0,2,1,0
TXN0415,52887,Bank Transfer,Travel,10,0,1,2,1,1
TXN0416,77129,Bank Transfer,Electronics,18,0,0,5,1,1
TXN0417,115576,Bank Transfer,Shopping,22,0,1,5,0,1
TXN0418,75706,Card,Grocery,4,0,1,3,1,1
TXN0419,16904,Bank Transfer,Shopping,4,1,0,3,1,0
TXN0420,71128,Card,Travel,16,1,1,4,1,1
TXN0421,111850,Card,Electronics,8,1,1,0,0,0
TXN0422,114177,Card,Fuel,13,0,0,1,0,1
TXN0423,134518,Card,Grocery,15,1,0,0,1,1
TXN0424,20049,Bank Transfer,Grocery,0,0,0,4,1,0
TXN0425,85589,Bank Transfer,Electronics,16,1,1,1,1,1
TXN0426,145497,Bank Transfer,Shopping,17,1,0,4,0,1
TXN0427,141149,UPI,Shopping,0,1,0,1,0,1
TXN0428,62678,Card,Electronics,20,0,1,4,0,1
TXN0429,102918,Card,Travel,4,0,1,1,0,0
TXN0430,26169,Bank Transfer,Grocery,20,0,0,3,0,0
TXN0431,134829,UPI,Fuel,23,0,1,0,1,1
TXN0432,95521,Bank Transfer,Fuel,15,0,0,0,0,1
TXN0433,35476,Bank Transfer,Grocery,1,1,0,3,1,0
TXN0434,36801,UPI,Electronics,5,0,1,4,0,0
TXN0435,134315,Card,Electronics,10,0,0,2,0,1
TXN0436,80101,UPI,Shopping,6,1,1,4,0,1
TXN0437,134971,Card,Grocery,7,0,1,5,1,1
TXN0438,108072,UPI,Food,7,0,1,4,1,1
TXN0439,5629,UPI,Food,18,0,0,5,0,0
TXN0440,140698,Card,Travel,8,1,1,0,0,0
TXN0441,143023,UPI,Food,3,0,1,5,1,1
TXN0442,100252,Bank Transfer,Shopping,9,0,1,1,0,0
TXN0443,86590,Card,Electronics,20,1,0,4,0,1
TXN0444,36763,Bank Transfer,Grocery,20,0,0,2,1,0
TXN0445,149517,Card,Travel,10,1,1,1,0,0
TXN0446,145016,UPI,Fuel,16,0,0,3,1,1
TXN0447,30538,UPI,Food,21,1,0,4,0,0
TXN0448,30913,Bank Transfer,Travel,20,0,0,4,1,0
TXN0449,60812,Card,Travel,18,1,0,1,1,1
TXN0450,9272,Card,Travel,3,0,0,0,1,0
TXN0451,81808,Bank Transfer,Electronics,5,0,1,0,0,0
TXN0452,76202,Bank Transfer,Electronics,0,0,0,2,0,1
TXN0453,136067,Bank Transfer,Travel,20,0,0,3,1,1
TXN0454,66458,Card,Fuel,6,0,0,1,1,1
TXN0455,70509,Card,Electronics,9,1,0,5,1,1
